feedback_config,task_id,turn_count,q_avg,q_min,q_max,a_avg,a_min,a_max,total_turn_tokens,final_label
CF_EF_UNIT_SNF,BigCodeBench/0,10,112.1,79,351,705.4,302,759,8175,fail
CF_EF_UNIT_SNF,BigCodeBench/1,10,1,1,1,222.4,189,261,2234,pass
CF_EF_UNIT_SNF,BigCodeBench/2,10,8,8,8,231.6,209,257,2396,fail
CF_EF_UNIT_SNF,BigCodeBench/3,10,1,1,1,191.8,162,226,1928,pass
CF_EF_UNIT_SNF,BigCodeBench/4,10,1,1,1,288.6,259,323,2896,pass
CF_EF_UNIT_SNF,BigCodeBench/5,10,101.2,79,242,610.5,326,812,7117,fail
CF_EF_UNIT_SNF,BigCodeBench/6,10,1,1,1,251.1,228,276,2521,pass
CF_EF_UNIT_SNF,BigCodeBench/7,10,1,1,1,373.4,340,412,3744,pass
CF_EF_UNIT_SNF,BigCodeBench/8,10,129.4,74,559,1136.6,266,1450,12660,fail
CF_EF_UNIT_SNF,BigCodeBench/9,10,1,1,1,304.6,246,374,3056,pass
CF_EF_UNIT_SNF,BigCodeBench/10,10,484.3,459,559,338.3,337,350,8226,fail
CF_EF_UNIT_SNF,BigCodeBench/11,10,123.2,79,462,748.9,361,834,8721,fail
CF_EF_UNIT_SNF,BigCodeBench/12,10,360.6,333,531,451.8,448,471,8124,fail
CF_EF_UNIT_SNF,BigCodeBench/13,10,204.6,201,205,392.2,387,439,5968,fail
CF_EF_UNIT_SNF,BigCodeBench/14,10,8,8,8,408.4,374,446,4164,fail
CF_EF_UNIT_SNF,BigCodeBench/15,10,8,8,8,403.8,370,442,4118,fail
CF_EF_UNIT_SNF,BigCodeBench/16,10,1,1,1,351.1,317,389,3521,pass
CF_EF_UNIT_SNF,BigCodeBench/17,10,556.7,543,658,239.4,238,252,7961,fail
CF_EF_UNIT_SNF,BigCodeBench/18,10,1,1,1,338.8,284,404,3398,pass
CF_EF_UNIT_SNF,BigCodeBench/19,10,8,8,8,247.2,214,286,2552,fail
CF_EF_UNIT_SNF,BigCodeBench/20,10,948.2,915,953,149.9,149,158,10981,fail
CF_EF_UNIT_SNF,BigCodeBench/21,10,111.1,79,305,559,20,773,6701,fail
CF_EF_UNIT_SNF,BigCodeBench/22,10,1,1,1,301.6,246,366,3026,pass
CF_EF_UNIT_SNF,BigCodeBench/23,10,112.7,79,357,765.6,326,868,8783,fail
CF_EF_UNIT_SNF,BigCodeBench/24,10,1,1,1,242.5,205,285,2435,pass
CF_EF_UNIT_SNF,BigCodeBench/25,10,1,1,1,181.9,145,225,1829,pass
CF_EF_UNIT_SNF,BigCodeBench/26,10,447.7,439,450,178.9,178,187,6266,fail
CF_EF_UNIT_SNF,BigCodeBench/27,10,1,1,1,253.1,207,303,2541,pass
CF_EF_UNIT_SNF,BigCodeBench/28,10,8,8,8,248.8,211,291,2568,fail
CF_EF_UNIT_SNF,BigCodeBench/29,10,820.9,694,841,89.1,79,104,9100,fail
