subset,session_id,context_tokens,turn_count,q_avg,q_min,q_max,a_avg,a_min,a_max,total_session_tokens
scbench_kv,0,123963,5,38.4,37,39,22.8,21,26,124269
scbench_kv,5,123731,5,36.2,33,40,21.6,18,26,124020
scbench_kv,10,123743,5,38,37,39,22.8,20,25,124047
scbench_kv,15,124117,5,38.4,36,42,22.6,20,24,124422
scbench_kv,20,123906,5,38,37,40,22.2,21,24,124207
scbench_kv,25,123954,5,38.4,34,41,21.8,21,23,124255
scbench_kv,30,124182,5,37.2,35,40,20.8,20,22,124472
scbench_kv,35,123898,5,39.4,37,41,22.4,19,24,124207
scbench_kv,40,124038,5,37.8,36,39,23.2,21,25,124343
scbench_kv,45,124202,5,37.8,34,41,23.2,22,24,124507
scbench_kv,50,124067,5,38.8,37,40,23.4,21,26,124378
scbench_kv,55,123606,5,38.4,34,41,20.6,19,22,123901
scbench_kv,60,124043,5,38.4,36,40,21.6,19,24,124343
scbench_kv,65,124130,5,37,36,38,22.2,20,24,124426
scbench_kv,70,124149,5,38.4,35,41,22.2,21,25,124452
scbench_kv,75,124162,5,37.8,36,41,22.2,21,24,124462
scbench_kv,80,123841,5,37.8,35,40,22,20,23,124140
scbench_kv,85,124225,5,38,36,41,23,21,26,124530
scbench_kv,90,123984,5,38.2,36,43,22.6,19,26,124288
scbench_kv,95,124243,5,38,36,41,21.8,19,23,124542
scbench_kv,100,124020,5,37.4,36,38,23.2,21,25,124323
scbench_kv,105,124033,5,37.8,36,41,22.4,20,25,124334
scbench_kv,110,124000,5,37.4,36,38,23.4,20,26,124304
scbench_kv,115,123871,5,37.8,36,41,22.4,20,26,124172
scbench_kv,120,123722,5,38.4,38,39,22.4,21,25,124026
scbench_kv,125,124148,5,39.2,34,41,22.2,20,24,124455
scbench_kv,130,123883,5,37.2,35,40,22.8,21,24,124183
scbench_kv,135,124154,5,37.4,35,41,22.2,20,25,124452
scbench_kv,140,124089,5,38.6,37,41,22.4,20,25,124394
scbench_kv,145,124017,5,37.2,36,39,24,23,26,124323
scbench_kv,150,124140,5,39.6,37,42,23.8,22,26,124457
scbench_kv,155,124053,5,38.6,34,43,23.2,21,25,124362
scbench_kv,160,124199,5,37.6,35,41,23.4,22,25,124504
scbench_kv,165,124091,5,36.4,34,38,22.2,21,24,124384
scbench_kv,170,124041,5,37.4,32,40,22.8,21,25,124342
scbench_kv,175,123821,5,36.6,33,42,22,20,27,124114
scbench_kv,180,124150,5,37.2,34,39,23.6,22,26,124454
scbench_kv,185,123773,5,37.4,35,39,23,22,25,124075
scbench_kv,190,123831,5,37,34,42,23.2,20,27,124132
scbench_kv,195,124018,5,37.6,36,40,21.2,18,27,124312
scbench_kv,200,123747,5,37.2,35,41,23,20,26,124048
scbench_kv,205,123938,5,38.4,37,40,22.2,20,25,124241
scbench_kv,210,124063,5,37.4,36,39,22.8,20,26,124364
scbench_kv,215,124295,5,37.2,34,39,23,21,25,124596
scbench_kv,220,124124,5,37.2,35,40,23.8,21,25,124429
scbench_kv,225,123911,5,37.2,34,40,21.2,17,26,124203
scbench_kv,230,123993,5,37.4,36,39,21.2,19,25,124286
scbench_kv,235,123956,5,37.8,37,40,22,18,28,124255
scbench_kv,240,124004,5,36,34,37,23,20,26,124299
scbench_kv,245,123960,5,37.2,35,39,23.8,20,26,124265
scbench_kv,250,124001,5,37.2,33,41,23.8,22,26,124306
scbench_kv,255,123843,5,37.2,36,38,25.2,22,28,124155
scbench_kv,260,123981,5,36.8,35,38,22.8,21,25,124279
scbench_kv,265,124149,5,39,38,40,22.6,20,25,124457
scbench_kv,270,124102,5,39,38,40,21.8,20,24,124406
scbench_kv,275,123981,5,37,36,38,23,22,25,124281
scbench_kv,280,123890,5,37,35,39,22.4,19,25,124187
scbench_kv,285,123870,5,38,36,39,21.2,18,23,124166
scbench_kv,290,123875,5,37.8,35,41,23.8,20,26,124183
scbench_kv,295,123998,5,39.4,36,43,22.6,21,24,124308
scbench_kv,300,123995,5,38.2,35,39,24.4,22,26,124308
scbench_kv,305,124184,5,38.2,33,41,22.4,20,27,124487
scbench_kv,310,124171,5,36.8,35,39,22.2,19,29,124466
scbench_kv,315,123797,5,38.6,36,44,21.4,18,24,124097
scbench_kv,320,123849,5,37.4,36,41,22.6,20,25,124149
scbench_kv,325,123970,5,38.4,35,42,23.4,21,30,124279
scbench_kv,330,124104,5,37,35,40,22.8,20,24,124403
scbench_kv,335,123905,5,36.4,35,38,23.4,20,26,124204
scbench_kv,340,123835,5,39,37,43,23,20,26,124145
scbench_kv,345,123958,5,36.6,33,39,23.6,21,25,124259
scbench_kv,350,124018,5,36.8,34,39,22.8,21,25,124316
scbench_kv,355,124049,5,37.8,34,40,22.2,20,25,124349
scbench_kv,360,123801,5,38.2,37,39,24.2,22,27,124113
scbench_kv,365,123814,5,38.6,35,41,22.6,20,25,124120
scbench_kv,370,123869,5,37.2,34,41,21.4,20,23,124162
scbench_kv,375,124178,5,37.8,36,41,23.2,21,25,124483
scbench_kv,380,123951,5,38.2,36,41,23,21,26,124257
scbench_kv,385,123997,5,37.4,35,40,21.6,19,23,124292
scbench_kv,390,123884,5,38.6,36,41,22,19,25,124187
scbench_kv,395,124181,5,38.2,35,42,22,19,26,124482
