split,Conversation_no,turn_count,unique_topics,q_avg,q_min,q_max,a_avg,a_min,a_max,passage_avg,passage_min,passage_max,total_session_tokens
train,1,12,4,7.2,5,12,7.8,2,22,127.9,23,175,1716
train,2,10,5,7.8,5,13,9.7,2,21,133.3,42,198,1508
train,3,11,2,7.2,5,10,15.6,3,33,150.9,140,183,1911
train,4,11,2,6.1,3,9,11.5,2,21,139,51,169,1722
train,5,10,4,8.5,5,12,14.2,3,34,131.1,35,164,1538
train,6,11,4,8.3,4,13,12.7,3,28,145.8,131,182,1835
train,7,18,8,8.2,5,15,14.8,3,42,132.1,75,182,2792
train,8,11,3,6.3,4,9,9.5,2,30,147.9,47,282,1800
train,9,14,3,8.5,4,21,17.2,3,58,140.8,120,169,2331
train,10,15,3,7.9,5,16,21.5,5,63,134.9,37,184,2463
train,11,15,6,7.6,4,13,19.5,5,52,124.3,62,164,2272
train,12,12,5,8.1,5,14,18.3,3,56,143.9,79,178,2044
train,13,10,3,9.4,6,14,20.2,3,66,148.9,65,187,1785
train,14,10,3,10.4,5,15,20.1,3,43,122.8,72,159,1533
train,15,10,4,8.8,6,12,18.9,2,45,132.5,84,179,1602
train,16,16,4,8.5,4,19,18.2,2,61,140.8,64,268,2680
train,17,18,6,8.6,5,14,10.7,1,32,143.8,69,198,2937
train,18,17,4,8.1,4,14,14,3,45,147.5,43,181,2882
train,19,10,3,7.1,4,10,13.4,2,46,166.8,106,183,1873
train,20,10,3,6.6,4,12,9,3,18,141.5,84,195,1571
train,21,12,7,7.9,5,13,6.1,2,14,152.7,94,187,2000
train,22,15,3,8.4,4,12,12.4,2,50,138.9,50,187,2396
train,23,16,5,9.9,5,17,18.6,1,87,158.7,126,194,2995
train,24,18,9,10,5,16,22.6,4,49,135.1,55,179,3017
train,25,18,4,12.5,4,19,17.3,2,50,154.7,87,257,3320
train,26,11,4,7,4,11,13.7,2,41,113.5,72,145,1476
train,27,7,3,6.9,2,12,10.9,2,19,162.1,142,189,1259
train,28,18,3,6.1,2,11,7.6,2,25,154.2,120,228,3020
train,29,10,4,7.1,5,11,14.8,2,33,124.7,33,174,1466
train,30,10,3,8.7,5,11,11.8,4,25,114.6,29,172,1351
train,31,10,2,7.2,5,11,9.5,2,31,157,143,173,1737
train,32,13,6,8.7,5,12,12.5,3,28,142.4,40,167,2126
train,33,10,4,8.3,5,11,21.2,1,57,149.5,100,177,1790
train,34,18,4,6.1,4,9,13.1,2,47,170.6,106,404,3416
train,35,11,4,10.3,6,16,17.2,4,57,141.6,77,172,1860
train,36,12,3,7.4,4,12,15.7,3,60,158.5,69,204,2179
train,37,10,5,7.9,5,15,14.6,3,38,138,21,173,1605
train,38,10,4,8.2,6,12,20.2,3,32,124,54,160,1524
train,39,10,4,7.7,6,11,24,1,62,162,134,188,1937
train,40,21,7,8.2,4,11,19.5,2,52,124.0,27,175,3185
train,41,15,7,7.4,4,12,10.8,2,35,145.3,57,188,2452
train,42,11,3,7.5,4,11,13.6,4,39,152.3,52,181,1908
train,43,12,6,8.4,5,13,7.2,2,15,137.3,39,160,1835
train,44,10,2,7.9,5,13,31.2,1,49,120,48,236,1591
train,45,13,7,8.9,4,18,22.8,4,62,155,143,176,2427
train,46,11,6,9.8,5,14,36,4,80,149.6,74,204,2150
train,47,12,4,8,4,12,9.3,2,27,123.9,15,218,1695
train,48,10,3,8,5,11,5.5,1,11,127.6,43,166,1411
train,49,10,3,7,4,11,16.5,1,39,129.7,87,149,1532
train,50,10,1,5.9,4,8,18.2,1,47,151.2,56,182,1753
train,51,10,5,7.1,4,12,13.7,3,31,129.9,15,159,1507
train,52,18,6,7.1,4,12,11.7,2,35,115.4,37,205,2416
train,53,10,3,8.7,6,12,12.6,1,31,128.3,61,158,1496
train,54,11,4,6.9,4,10,9.4,2,20,129,23,151,1598
train,55,12,5,7,5,9,17.3,4,36,134.1,64,169,1901
train,56,10,8,9.6,7,14,10.5,1,23,123.8,48,173,1439
train,57,13,6,7.2,4,13,11.2,2,49,150.2,103,218,2193
train,58,11,3,13.2,8,21,19.5,3,52,145.4,56,200,1958
train,59,10,3,8.5,5,12,8.1,2,26,169.3,135,186,1859
train,60,14,7,7.6,4,11,13.1,2,48,126.2,54,166,2056
train,61,17,7,8.5,5,13,20.1,4,33,143.2,65,193,2921
train,62,10,3,8.5,6,13,6.9,3,13,118,61,141,1334
train,63,8,2,6.9,4,9,14,3,34,114.2,35,165,1081
train,64,16,6,8.1,6,12,13.8,1,31,151.8,95,189,2778
train,65,10,3,5.6,3,9,5.4,1,11,139,121,181,1500
train,66,12,6,8.6,4,12,12.4,1,41,133,69,153,1848
train,67,14,5,8,5,13,16,2,32,155.1,142,193,2507
train,68,10,2,7.7,5,18,20.7,1,48,151.1,109,197,1795
train,69,10,4,6,4,9,8.3,2,18,151.6,137,160,1659
train,70,12,2,6.8,4,11,11.2,2,51,149,136,164,2005
train,71,11,3,7.4,5,9,13.6,3,62,167.4,137,194,2072
train,72,19,7,7.4,2,13,8.6,2,22,119,24,183,2565
